CITYGEONAME,LATITUDE,LONGITUDE,USERS
Piteå,65.317410,21.487550,28
Piteå,65.316860,21.479730,45
Piteå,65.314000,21.488300,15
Piteå,65.313205,21.454163,193
Piteå,65.309540,21.506140,75
Piteå,65.304340,21.486260,70
Piteå,65.299830,21.404920,15
Piteå,65.290300,21.500170,22
Svensbyn,65.281790,21.097980,37
Hortlax,65.270776,21.434930,20
Egilsstaðir,65.266550,-14.398550,121
Piteå,65.262970,21.536880,17
Halosenniemi,65.245640,25.331550,21
Haukipudas,65.179950,25.349710,86
Malå,65.172630,18.759540,84
Fairbanks,65.171840,-146.876300,164
Neskaupstaður,65.139190,-13.722280,38
Kiiminki,65.131700,25.804740,29
Kello,65.128590,25.356660,19
Kiviniemi,65.116530,25.332960,16
Terråk,65.104920,12.427690,20
Storuman,65.099998,17.100000,36
Jääli,65.092800,25.685080,57
Leka,65.092300,11.729130,159
Pateniemi,65.087450,25.409270,33
Kuivasjärvi,65.076320,25.488660,111
Rajakylä,65.067480,25.419870,16
Kaijonharju-Linnanmaa,65.054890,25.477240,49
Koskela-Oulu,65.047030,25.448040,26
Taskila-Toppila,65.044370,25.437470,30
Korvensuora,65.043850,25.604670,60
Barsele,65.043760,17.497080,28
Pyykkösjärvi-Puolivälikangas,65.041640,25.495600,15
Stensele,65.037270,17.214720,16
Välivainio,65.033650,25.473140,30
Reyðarfjörður,65.032390,-14.213020,91
Hietasaari,65.026950,25.426320,24
Tuira,65.025790,25.475150,61
Kåge,65.025360,20.792500,29
Haapalehto,65.017730,25.558720,68
Raksila,65.014340,25.494520,44
Oulu,65.012170,25.472210,215
Karjasilta,65.008030,25.482650,43
Värttö-Maikkula,65.006830,25.535060,71
Hiukkavaara,65.006390,25.611730,47
Heinäpää,65.006130,25.462470,90
Äimärautio,64.993420,25.458320,21
Kaukovainio,64.990230,25.514850,25
Höyhtyä,64.988100,25.492980,32
Iinatti,64.983380,25.573370,48
Foldereid,64.982740,12.185300,20
Kaakkuri,64.966910,25.508250,31
Metsokangas,64.952670,25.552380,122
Byske,64.950610,21.209850,15
Madekoski,64.942670,25.681910,13
Oulunsalo,64.942370,25.385500,86
Namsskogan,64.929700,13.162950,11
Kempele,64.913150,25.498220,79
Honkanen,64.902370,25.562510,67
Kusmark,64.896110,20.779200,12
Rørvik,64.886090,11.089420,237
Boliden,64.866699,20.383301,61
Tupos,64.863340,25.499660,19
Kolvereid,64.861950,11.603350,96
Badger,64.840000,-147.720000,12
Kåge,64.832210,20.986340,36
Kåge,64.826310,20.993010,20
Muhos,64.817760,26.023660,26
Fort Wainwright,64.802190,-147.625400,119
Liminka,64.798750,25.414590,28
Skellefteå,64.791950,20.800200,19
Austin,45.184090,-72.280290,31
Austin,38.741500,-85.805960,29
San Antonio,29.694310,-98.415920,1269
Dallas,44.919280,-123.317000,163
